sku,product_name,category,unit_cost_usd,lead_time_days,supplier_risk,stock_on_hand,reorder_point,active,duplicate_marker
XRX-SKU-00027,Xerox B315,service,7650.87,54,0.834,414,256,True,
XRX-SKU-00028,Transfer Belt 001R00613,spare_part,17933.22,22,0.613,879,43,True,
XRX-SKU-00029,Toner 006R04399,device,12873.66,52,0.447,177,112,True,
XRX-SKU-00030,Xerox VersaLink B625,toner,5595.94,3,0.288,437,213,True,
XRX-SKU-00031,Xerox C410,service,16419.24,46,0.749,175,141,True,
XRX-SKU-00032,Xerox C410,software,5347.85,50,0.134,711,177,True,
XRX-SKU-00033,Xerox PrimeLink C9070,device,17333.19,56,0.869,252,186,True,
XRX-SKU-00034,Xerox B315,toner,16460.0,57,0.424,731,151,True,
XRX-SKU-00035,Xerox C410,software,11472.17,43,0.259,274,104,True,
XRX-SKU-00036,Fuser 115R00138,spare_part,2384.4,52,0.278,779,168,True,
XRX-SKU-00037,Xerox AltaLink C8155,spare_part,13292.88,30,0.078,530,80,True,
XRX-SKU-00038,Xerox VersaLink B625,spare_part,3370.2,21,0.287,898,37,True,
XRX-SKU-00039,Transfer Belt 001R00613,device,283.04,20,0.053,173,260,True,
XRX-SKU-00040,Xerox PrimeLink C9070,spare_part,3646.4,55,0.057,342,180,True,
XRX-SKU-00041,Fuser 115R00138,device,15542.81,5,0.362,326,163,True,
XRX-SKU-00042,Transfer Belt 001R00613,software,6617.35,23,0.822,398,55,True,
XRX-SKU-00043,Fuser 115R00138,software,16531.72,7,0.652,192,55,True,
XRX-SKU-00044,Toner 006R04399,software,11421.49,38,0.799,363,236,True,
XRX-SKU-00045,Transfer Belt 001R00613,device,13596.74,41,0.932,526,27,True,
XRX-SKU-00046,Toner 006R04399,service,408.28,15,0.489,172,153,True,
XRX-SKU-00047,Xerox PrimeLink C9070,service,16336.59,10,0.258,240,244,True,
XRX-SKU-00048,Toner 006R04399,device,9063.63,49,0.691,673,235,True,
XRX-SKU-00049,Xerox C410,service,8987.27,39,0.072,126,123,True,
XRX-SKU-00050,Xerox AltaLink C8155,software,1046.77,33,0.694,743,126,True,
XRX-SKU-00051,Xerox B315,toner,14170.43,54,0.078,590,115,True,
XRX-SKU-00052,Xerox C410,software,12797.94,12,0.534,419,14,False,
XRX-SKU-00053,Xerox B315,service,7346.24,57,0.154,7,73,True,
XRX-SKU-00054,Xerox AltaLink C8155,software,1140.99,1,0.146,33,164,True,
XRX-SKU-00055,Fuser 115R00138,toner,18708.58,55,0.805,249,25,False,
XRX-SKU-00056,Xerox B315,spare_part,3476.62,16,0.41,841,37,True,
XRX-SKU-00057,Fuser 115R00138,software,3454.48,6,0.522,530,158,True,
XRX-SKU-00058,Xerox AltaLink C8155,toner,10439.84,30,0.165,848,214,True,
XRX-SKU-00059,Toner 006R04399,software,8112.75,44,0.013,702,182,True,
XRX-SKU-00060,Xerox AltaLink C8155,spare_part,8544.08,26,0.982,243,244,True,
XRX-SKU-00061,Xerox B315,toner,8547.48,12,0.115,347,131,True,
XRX-SKU-00062,Xerox C410,software,2606.18,26,0.591,607,14,True,
XRX-SKU-00063,Xerox B315,spare_part,11300.67,23,0.218,896,135,True,
XRX-SKU-00064,Xerox PrimeLink C9070,software,7443.87,37,0.561,358,34,True,
XRX-SKU-00065,Xerox PrimeLink C9070,software,997.24,58,0.569,268,253,True,
XRX-SKU-00066,Toner 006R04399,toner,7075.8,19,0.798,571,42,True,
XRX-SKU-00067,Fuser 115R00138,toner,1883.9,10,0.566,342,182,True,
XRX-SKU-00068,Xerox AltaLink C8155,toner,13136.1,40,0.263,144,120,True,
XRX-SKU-00069,Fuser 115R00138,device,17140.05,36,0.31,296,217,True,
XRX-SKU-00070,Toner 006R04399,software,18280.82,58,0.651,735,245,True,
XRX-SKU-00071,Xerox C410,spare_part,3176.54,3,0.633,464,15,True,
XRX-SKU-00072,Transfer Belt 001R00613,spare_part,7388.45,40,0.332,213,218,True,
XRX-SKU-00073,Xerox PrimeLink C9070,software,10626.19,16,0.276,132,31,True,
XRX-SKU-00074,Xerox B315,device,14570.66,28,0.614,422,31,True,
XRX-SKU-00075,Transfer Belt 001R00613,toner,7844.12,36,0.78,11,105,True,
XRX-SKU-00076,Fuser 115R00138,toner,18451.46,10,0.229,572,157,True,
XRX-SKU-00077,Fuser 115R00138,toner,4612.58,23,0.232,369,123,True,
XRX-SKU-00078,Transfer Belt 001R00613,spare_part,2506.23,28,0.645,488,56,True,
XRX-SKU-00079,Xerox AltaLink C8155,service,5541.92,21,0.399,801,239,True,
XRX-SKU-00080,Xerox AltaLink C8155,device,18377.51,25,0.524,28,118,True,
XRX-SKU-00081,Xerox B315,spare_part,14585.39,40,0.908,604,10,True,
XRX-SKU-00082,Xerox VersaLink B625,spare_part,13174.65,34,0.793,569,145,True,
XRX-SKU-00083,Xerox PrimeLink C9070,toner,18700.89,4,0.312,446,249,True,
XRX-SKU-00084,Xerox AltaLink C8155,toner,866.05,23,0.188,460,247,True,
XRX-SKU-00085,Xerox VersaLink B625,service,2369.22,6,0.892,869,20,True,
XRX-SKU-00086,Xerox B315,software,15064.1,3,0.613,622,10,True,
XRX-SKU-00087,Fuser 115R00138,device,6299.29,48,0.597,664,108,False,
XRX-SKU-00088,Toner 006R04399,device,9642.66,51,0.468,734,19,True,
XRX-SKU-00089,Xerox PrimeLink C9070,spare_part,12924.05,30,0.107,686,208,True,
XRX-SKU-00090,Xerox PrimeLink C9070,toner,13834.05,55,0.283,215,57,True,
XRX-SKU-00091,Toner 006R04399,spare_part,1944.95,22,0.494,103,45,True,
XRX-SKU-00092,Xerox C410,device,8204.47,57,0.715,769,186,True,
XRX-SKU-00093,Toner 006R04399,software,5911.12,52,0.372,719,10,True,
XRX-SKU-00094,Xerox PrimeLink C9070,spare_part,6379.94,17,0.822,537,203,True,
XRX-SKU-00095,Transfer Belt 001R00613,device,11952.46,49,0.187,13,211,True,
XRX-SKU-00096,Xerox B315,spare_part,3547.64,36,0.365,412,212,True,
XRX-SKU-00097,Toner 006R04399,device,16059.85,28,0.48,376,162,False,
XRX-SKU-00098,Xerox VersaLink B625,device,2817.16,19,0.648,803,109,True,
XRX-SKU-00099,Transfer Belt 001R00613,service,13841.64,39,0.03,624,260,True,
XRX-SKU-00100,Fuser 115R00138,spare_part,14433.55,29,0.655,672,11,True,
XRX-SKU-00101,Xerox B315,toner,11521.28,22,0.147,304,215,True,
XRX-SKU-00102,Xerox B315,software,3784.79,37,0.48,40,121,True,
XRX-SKU-00103,Fuser 115R00138,toner,5263.89,29,0.37,755,80,True,
XRX-SKU-00104,Xerox B315,toner,13440.7,46,0.717,807,100,True,
XRX-SKU-00105,Toner 006R04399,device,11906.0,23,0.065,604,95,True,
XRX-SKU-00106,Transfer Belt 001R00613,service,2008.88,27,0.364,665,151,True,
XRX-SKU-00107,Fuser 115R00138,service,14616.7,51,0.026,163,26,True,
XRX-SKU-00108,Xerox VersaLink B625,device,17444.14,31,0.381,489,105,True,
XRX-SKU-00109,Transfer Belt 001R00613,spare_part,5731.03,14,0.663,38,65,True,
XRX-SKU-00110,Xerox C410,software,17572.96,43,0.184,423,85,True,
XRX-SKU-00111,Xerox VersaLink B625,spare_part,17869.56,38,0.96,22,222,True,
XRX-SKU-00112,Xerox VersaLink B625,toner,10165.93,58,0.741,437,249,True,
XRX-SKU-00113,Xerox VersaLink B625,software,5535.41,34,0.309,627,182,True,
XRX-SKU-00114,Xerox C410,spare_part,7604.74,36,0.779,489,214,True,
XRX-SKU-00115,Xerox VersaLink B625,toner,4345.77,22,0.029,316,93,True,
XRX-SKU-00116,Xerox AltaLink C8155,device,3861.23,4,0.175,173,101,True,
XRX-SKU-00117,Transfer Belt 001R00613,software,4755.24,19,0.162,341,65,True,
XRX-SKU-00118,Xerox B315,spare_part,2299.48,12,0.846,65,152,True,
XRX-SKU-00119,Xerox C410,spare_part,3259.81,8,0.485,883,105,True,
XRX-SKU-00120,Xerox VersaLink B625,service,5991.41,9,0.377,37,236,True,
XRX-SKU-00121,Xerox PrimeLink C9070,toner,6679.6,45,0.062,826,79,True,
XRX-SKU-00122,Transfer Belt 001R00613,software,17552.62,15,0.441,864,73,True,
XRX-SKU-00123,Fuser 115R00138,service,7406.44,36,0.27,837,157,True,
XRX-SKU-00124,Xerox AltaLink C8155,service,15789.49,50,0.475,604,228,True,
XRX-SKU-00125,Fuser 115R00138,software,11893.95,14,0.028,825,242,True,
XRX-SKU-00126,Xerox VersaLink B625,service,14844.2,44,0.505,755,180,True,
XRX-SKU-00127,Xerox AltaLink C8155,device,1464.72,3,0.077,263,204,True,
XRX-SKU-00128,Xerox AltaLink C8155,device,15385.69,2,0.783,328,191,True,
XRX-SKU-00129,Xerox AltaLink C8155,device,11753.96,56,0.28,243,245,True,
XRX-SKU-00130,Xerox VersaLink B625,software,5869.64,35,0.195,262,259,True,
XRX-SKU-00131,Transfer Belt 001R00613,service,15561.1,52,0.144,841,68,True,
XRX-SKU-00132,Transfer Belt 001R00613,service,1740.53,20,0.973,415,64,True,
XRX-SKU-00133,Transfer Belt 001R00613,software,11088.18,18,0.465,371,160,True,
XRX-SKU-00134,Toner 006R04399,device,16872.27,43,0.643,840,220,True,
XRX-SKU-00135,Xerox PrimeLink C9070,spare_part,8259.98,1,0.128,855,254,True,
XRX-SKU-00136,Transfer Belt 001R00613,software,9140.14,20,0.017,425,201,True,
XRX-SKU-00137,Xerox C410,spare_part,18088.89,59,0.525,415,167,True,
XRX-SKU-00138,Xerox AltaLink C8155,spare_part,8876.21,6,0.762,454,149,True,
XRX-SKU-00139,Toner 006R04399,spare_part,64.87,38,0.293,890,249,True,
XRX-SKU-00140,Fuser 115R00138,software,3393.47,12,0.817,554,156,True,
XRX-SKU-00141,Xerox B315,software,8211.87,17,0.323,413,206,True,
XRX-SKU-00142,Toner 006R04399,service,18431.94,17,0.907,869,91,True,
XRX-SKU-00143,Xerox B315,toner,12023.27,33,0.131,423,169,True,
XRX-SKU-00144,Xerox VersaLink B625,service,15577.22,30,0.306,402,48,True,
XRX-SKU-00145,Xerox VersaLink B625,toner,11210.13,4,0.17,763,238,True,
XRX-SKU-00146,Xerox VersaLink B625,service,2122.76,12,0.964,169,176,True,
XRX-SKU-00147,Toner 006R04399,service,2342.96,24,0.806,721,89,True,
XRX-SKU-00148,Xerox AltaLink C8155,device,10585.98,2,0.114,61,16,True,
XRX-SKU-00149,Toner 006R04399,device,11884.23,25,0.225,600,242,True,
XRX-SKU-00150,Xerox PrimeLink C9070,software,9482.19,15,0.705,661,129,True,
XRX-SKU-00151,Transfer Belt 001R00613,service,4816.98,51,0.927,205,15,True,
XRX-SKU-00152,Xerox AltaLink C8155,device,10028.36,31,0.298,279,86,True,
XRX-SKU-00153,Xerox C410,software,1282.85,54,0.485,8,182,False,
XRX-SKU-00154,Xerox AltaLink C8155,service,9178.32,13,0.989,868,131,False,
XRX-SKU-00155,Transfer Belt 001R00613,spare_part,8847.77,30,0.518,295,253,True,
XRX-SKU-00156,Xerox B315,software,8157.33,1,0.874,835,172,True,
XRX-SKU-00157,Xerox C410,software,10998.81,49,0.619,515,221,True,
XRX-SKU-00158,Xerox PrimeLink C9070,toner,10164.88,37,0.4,675,158,True,
XRX-SKU-00159,Toner 006R04399,device,2921.7,20,0.389,206,10,True,
XRX-SKU-00160,Toner 006R04399,service,12481.51,3,0.619,848,213,True,
XRX-SKU-00161,Xerox PrimeLink C9070,service,4762.22,37,0.306,454,254,True,
XRX-SKU-00162,Xerox AltaLink C8155,service,8702.77,35,0.399,626,134,True,
XRX-SKU-00163,Xerox AltaLink C8155,spare_part,15769.85,48,0.684,195,31,True,
XRX-SKU-00164,Toner 006R04399,software,5801.84,32,0.191,687,29,True,
XRX-SKU-00165,Xerox VersaLink B625,service,4800.88,7,0.172,713,49,True,
XRX-SKU-00166,Toner 006R04399,software,10924.23,54,0.112,651,178,True,
XRX-SKU-00167,Toner 006R04399,spare_part,18280.43,15,0.055,325,145,True,
XRX-SKU-00168,Xerox PrimeLink C9070,software,14364.92,22,0.085,266,133,True,
XRX-SKU-00169,Xerox VersaLink B625,device,16686.69,14,0.497,320,110,True,
XRX-SKU-00170,Xerox C410,toner,14232.73,50,0.664,694,165,True,
XRX-SKU-00171,Xerox VersaLink B625,spare_part,18276.03,40,0.619,891,116,True,
XRX-SKU-00172,Xerox AltaLink C8155,toner,11886.49,49,0.344,161,106,True,
XRX-SKU-00173,Xerox B315,spare_part,1764.3,27,0.804,118,111,True,
XRX-SKU-00174,Toner 006R04399,spare_part,3694.66,54,0.662,480,11,True,
XRX-SKU-00175,Toner 006R04399,service,857.24,19,0.015,695,53,True,
XRX-SKU-00176,Transfer Belt 001R00613,toner,16877.46,27,0.496,130,119,True,
XRX-SKU-00177,Transfer Belt 001R00613,software,376.95,55,0.697,706,35,True,
XRX-SKU-00178,Transfer Belt 001R00613,toner,15802.29,57,0.485,805,197,True,
XRX-SKU-00179,Xerox PrimeLink C9070,software,4635.45,50,0.316,494,121,True,
XRX-SKU-00180,Xerox AltaLink C8155,device,4630.3,51,0.098,290,106,False,
XRX-SKU-00181,Xerox AltaLink C8155,device,16941.89,27,0.991,356,165,True,
XRX-SKU-00182,Xerox AltaLink C8155,toner,6265.67,20,0.24,277,192,True,
XRX-SKU-00183,Xerox B315,device,2202.85,41,0.0,414,19,True,
XRX-SKU-00184,Transfer Belt 001R00613,software,3336.54,50,0.428,112,197,True,
XRX-SKU-00185,Xerox B315,device,15822.64,31,0.397,191,211,True,
XRX-SKU-00186,Fuser 115R00138,toner,14914.33,16,0.526,870,210,True,
XRX-SKU-00187,Xerox C410,service,12370.53,53,0.826,900,219,True,
XRX-SKU-00188,Xerox B315,spare_part,12219.15,46,0.332,451,106,False,
XRX-SKU-00189,Xerox PrimeLink C9070,spare_part,15679.99,14,0.333,522,190,True,
XRX-SKU-00190,Xerox VersaLink B625,service,4013.62,37,0.07,412,118,True,
XRX-SKU-00191,Xerox C410,device,14239.76,25,0.078,271,147,True,
XRX-SKU-00192,Transfer Belt 001R00613,software,15320.68,59,0.683,425,174,True,
XRX-SKU-00193,Transfer Belt 001R00613,service,8614.55,54,0.573,242,249,True,
XRX-SKU-00194,Transfer Belt 001R00613,software,7940.63,6,0.638,190,251,True,
XRX-SKU-00195,Toner 006R04399,toner,8328.69,54,0.615,301,141,True,
XRX-SKU-00196,Xerox VersaLink B625,software,14029.92,43,0.294,497,122,True,
XRX-SKU-00197,Xerox PrimeLink C9070,service,6388.31,39,0.111,347,149,False,
XRX-SKU-00198,Transfer Belt 001R00613,spare_part,416.11,57,0.658,565,85,True,
XRX-SKU-00199,Transfer Belt 001R00613,device,17500.13,47,0.741,685,42,True,
XRX-SKU-00200,Xerox PrimeLink C9070,service,8237.4,51,0.44,259,108,True,
XRX-SKU-00201,Transfer Belt 001R00613,device,4418.51,12,0.849,112,260,True,
XRX-SKU-00202,Xerox PrimeLink C9070,spare_part,17688.43,39,0.28,447,70,True,
XRX-SKU-00203,Xerox VersaLink B625,service,8523.48,57,0.163,197,178,True,
XRX-SKU-00204,Transfer Belt 001R00613,device,8014.12,23,0.635,615,115,True,
XRX-SKU-00205,Transfer Belt 001R00613,software,9794.94,6,0.915,506,35,True,
XRX-SKU-00206,Xerox VersaLink B625,device,14864.8,46,0.457,278,75,True,
XRX-SKU-00207,Xerox VersaLink B625,toner,14455.52,60,0.197,793,218,True,
XRX-SKU-00208,Xerox B315,software,6751.43,10,0.718,851,170,True,
XRX-SKU-00209,Xerox B315,software,1930.46,51,0.532,591,36,True,
XRX-SKU-00210,Transfer Belt 001R00613,software,15621.28,48,0.287,536,77,True,
XRX-SKU-00211,Xerox VersaLink B625,device,8358.98,8,0.451,400,24,True,
XRX-SKU-00212,Xerox VersaLink B625,software,5640.72,2,0.764,26,94,True,
XRX-SKU-00213,Transfer Belt 001R00613,device,12166.13,33,0.927,358,168,True,
XRX-SKU-00214,Transfer Belt 001R00613,toner,7696.94,45,0.883,191,164,True,
XRX-SKU-00215,Xerox AltaLink C8155,software,15466.72,47,0.989,112,178,True,
XRX-SKU-00216,Xerox VersaLink B625,software,31.78,20,0.631,775,254,True,
XRX-SKU-00217,Xerox AltaLink C8155,device,3594.39,43,0.126,390,162,True,
XRX-SKU-00218,Transfer Belt 001R00613,service,3298.62,43,0.345,134,146,True,
XRX-SKU-00219,Xerox C410,spare_part,11583.57,42,0.481,689,115,True,
XRX-SKU-00220,Xerox VersaLink B625,device,6800.09,19,0.598,320,106,True,
XRX-SKU-00221,Fuser 115R00138,service,7191.22,2,0.698,199,139,True,
XRX-SKU-00222,Xerox VersaLink B625,software,12589.46,34,0.464,359,21,True,
XRX-SKU-00223,Transfer Belt 001R00613,software,10209.28,56,0.645,638,41,True,
XRX-SKU-00224,Xerox B315,software,9444.37,56,0.179,497,43,True,
XRX-SKU-00225,Xerox C410,device,13568.85,13,0.653,761,241,True,
XRX-SKU-00226,Toner 006R04399,service,15720.0,49,0.9,776,77,True,
XRX-SKU-00227,Xerox VersaLink B625,spare_part,9195.82,20,0.818,386,120,True,
XRX-SKU-00228,Xerox PrimeLink C9070,device,13610.94,12,0.144,312,169,True,
XRX-SKU-00229,Fuser 115R00138,service,9183.97,9,0.783,741,96,True,
XRX-SKU-00230,Xerox AltaLink C8155,software,14958.52,4,0.341,7,222,True,
XRX-SKU-00231,Transfer Belt 001R00613,service,16836.75,53,0.141,559,188,True,
XRX-SKU-00232,Toner 006R04399,device,9432.26,40,0.42,279,53,False,
XRX-SKU-00233,Transfer Belt 001R00613,spare_part,18257.53,29,0.332,257,111,True,
XRX-SKU-00234,Xerox VersaLink B625,device,947.28,35,0.724,188,188,True,
XRX-SKU-00235,Fuser 115R00138,service,5388.48,7,0.633,570,260,True,
XRX-SKU-00236,Xerox VersaLink B625,software,9466.85,37,0.568,306,234,True,
XRX-SKU-00237,Xerox PrimeLink C9070,software,7189.2,47,0.088,441,40,True,
XRX-SKU-00238,Xerox AltaLink C8155,service,10711.36,12,0.939,251,206,True,
XRX-SKU-00239,Toner 006R04399,device,3226.99,26,0.455,474,225,True,
XRX-SKU-00240,Xerox AltaLink C8155,software,1130.09,30,0.276,541,177,True,
XRX-SKU-00241,Toner 006R04399,spare_part,3930.94,5,0.599,240,105,True,
XRX-SKU-00242,Fuser 115R00138,spare_part,7888.39,7,0.964,699,119,True,
XRX-SKU-00243,Toner 006R04399,software,3225.87,28,0.441,33,224,True,
XRX-SKU-00244,Xerox C410,software,2036.16,56,0.599,834,180,True,
XRX-SKU-00245,Xerox PrimeLink C9070,device,18566.66,20,0.608,35,194,True,
XRX-SKU-00246,Xerox AltaLink C8155,software,17042.31,8,0.922,683,150,True,
XRX-SKU-00247,Transfer Belt 001R00613,service,5309.72,37,0.437,482,91,True,
XRX-SKU-00248,Xerox AltaLink C8155,toner,5527.03,59,0.72,516,61,True,
XRX-SKU-00249,Xerox C410,software,1492.07,59,0.072,9,157,True,
XRX-SKU-00250,Fuser 115R00138,service,7036.43,57,0.822,307,105,False,
XRX-SKU-00251,Toner 006R04399,device,12388.24,39,0.463,133,195,True,
XRX-SKU-00252,Transfer Belt 001R00613,device,2140.45,31,0.24,215,26,True,
XRX-SKU-00253,Fuser 115R00138,toner,16848.38,11,0.452,60,168,False,
XRX-SKU-00254,Xerox PrimeLink C9070,toner,12379.45,20,0.877,816,44,True,
XRX-SKU-00255,Transfer Belt 001R00613,service,11554.07,25,0.506,153,39,True,
XRX-SKU-00256,Xerox VersaLink B625,toner,13677.88,60,0.767,329,97,True,
XRX-SKU-00257,Xerox VersaLink B625,software,10134.62,2,0.851,803,242,True,
XRX-SKU-00258,Xerox AltaLink C8155,device,13919.7,27,0.656,879,237,False,
XRX-SKU-00259,Fuser 115R00138,device,10288.59,28,0.044,175,39,False,
XRX-SKU-00260,Xerox VersaLink B625,toner,7424.14,15,0.944,458,121,True,
XRX-SKU-00261,Xerox B315,device,2200.29,42,0.385,38,143,True,
XRX-SKU-00262,Xerox C410,device,6872.82,22,0.702,132,25,True,
XRX-SKU-00263,Xerox B315,device,9346.63,27,0.69,649,46,True,
XRX-SKU-00264,Fuser 115R00138,spare_part,18083.91,51,0.077,871,46,True,
XRX-SKU-00265,Xerox PrimeLink C9070,software,7456.19,11,0.071,133,63,True,
XRX-SKU-00266,Fuser 115R00138,device,9887.65,49,0.312,213,33,True,
XRX-SKU-00267,Xerox VersaLink B625,toner,11625.34,11,0.554,719,212,True,
XRX-SKU-00268,Xerox B315,service,207.96,58,0.173,649,169,True,
XRX-SKU-00269,Toner 006R04399,software,17809.53,24,0.096,551,30,True,
XRX-SKU-00270,Toner 006R04399,software,10986.96,57,0.126,274,147,True,
XRX-SKU-00271,Xerox PrimeLink C9070,device,18213.4,47,0.151,772,181,True,
XRX-SKU-00272,Transfer Belt 001R00613,toner,8418.51,52,0.288,713,117,True,
XRX-SKU-00273,Fuser 115R00138,software,13022.09,32,0.098,765,126,False,
XRX-SKU-00274,Fuser 115R00138,software,13398.38,38,0.127,420,213,True,
XRX-SKU-00275,Xerox B315,device,12628.55,6,0.295,786,170,True,
XRX-SKU-00276,Xerox AltaLink C8155,spare_part,13754.03,16,0.832,372,257,True,
XRX-SKU-00277,Fuser 115R00138,service,7484.23,43,0.138,857,95,True,
XRX-SKU-00278,Fuser 115R00138,service,8082.06,41,0.101,318,145,True,
XRX-SKU-00279,Toner 006R04399,spare_part,11487.13,56,0.409,389,124,True,
XRX-SKU-00280,Fuser 115R00138,spare_part,18449.79,10,0.561,316,121,False,
XRX-SKU-00281,Xerox PrimeLink C9070,service,5145.23,2,0.516,225,106,True,
XRX-SKU-00282,Toner 006R04399,software,6013.18,60,0.947,424,13,True,
XRX-SKU-00283,Xerox PrimeLink C9070,service,3482.61,6,0.722,142,11,True,
XRX-SKU-00284,Xerox AltaLink C8155,service,4424.82,24,0.51,675,34,True,
XRX-SKU-00285,Transfer Belt 001R00613,device,3171.86,22,0.993,586,221,True,
XRX-SKU-00286,Xerox PrimeLink C9070,device,1349.35,38,0.171,544,221,True,
XRX-SKU-00287,Xerox AltaLink C8155,software,12632.91,58,0.078,324,181,True,
XRX-SKU-00288,Fuser 115R00138,toner,7965.63,1,0.781,179,143,True,
XRX-SKU-00289,Xerox PrimeLink C9070,device,9372.87,50,0.189,332,227,True,
XRX-SKU-00290,Xerox PrimeLink C9070,spare_part,10741.76,50,0.185,850,70,False,
XRX-SKU-00291,Xerox PrimeLink C9070,service,2383.38,47,0.484,384,254,True,
XRX-SKU-00292,Xerox B315,spare_part,18467.66,44,0.285,733,229,True,
XRX-SKU-00293,Xerox C410,device,4159.22,39,0.955,846,156,True,
XRX-SKU-00294,Transfer Belt 001R00613,service,7667.97,46,0.439,735,45,True,
XRX-SKU-00295,Fuser 115R00138,toner,6964.31,31,0.27,249,151,True,
XRX-SKU-00296,Xerox PrimeLink C9070,spare_part,5711.6,5,0.712,437,47,True,
XRX-SKU-00297,Toner 006R04399,software,6162.0,25,0.443,645,70,True,
XRX-SKU-00298,Xerox C410,software,2846.44,25,0.41,186,260,True,
XRX-SKU-00299,Xerox AltaLink C8155,software,9716.03,12,0.01,356,139,True,
XRX-SKU-00300,Xerox VersaLink B625,device,13277.86,6,0.718,403,224,True,
XRX-SKU-00301,Xerox B315,spare_part,8391.63,48,0.997,48,56,True,
XRX-SKU-00302,Xerox C410,toner,6689.48,43,0.346,234,125,True,
XRX-SKU-00303,Xerox AltaLink C8155,spare_part,16665.03,11,0.592,336,56,True,
XRX-SKU-00304,Transfer Belt 001R00613,software,2220.43,36,0.364,113,58,True,
XRX-SKU-00305,Toner 006R04399,device,7231.73,44,0.903,739,180,False,
XRX-SKU-00306,Xerox AltaLink C8155,software,15203.72,39,0.254,435,132,True,
XRX-SKU-00307,Fuser 115R00138,software,10372.68,3,0.693,859,235,True,
XRX-SKU-00308,Transfer Belt 001R00613,software,14515.14,10,0.611,571,235,True,
XRX-SKU-00309,Transfer Belt 001R00613,spare_part,15976.89,16,0.967,856,52,True,
XRX-SKU-00310,Xerox VersaLink B625,spare_part,4343.65,43,0.682,744,82,True,
XRX-SKU-00311,Transfer Belt 001R00613,device,7951.58,53,0.583,129,185,True,
XRX-SKU-00312,Xerox C410,software,3926.85,3,0.598,676,134,True,
XRX-SKU-00313,Toner 006R04399,spare_part,15482.61,14,0.161,135,172,True,
XRX-SKU-00314,Toner 006R04399,device,4034.32,29,0.315,377,66,True,
XRX-SKU-00315,Xerox AltaLink C8155,spare_part,15859.52,3,0.327,459,64,True,
XRX-SKU-00316,Xerox B315,device,6580.3,18,0.445,160,133,True,
XRX-SKU-00317,Xerox AltaLink C8155,service,10375.86,54,0.934,581,35,True,
XRX-SKU-00318,Transfer Belt 001R00613,device,16297.17,43,0.614,144,109,True,
XRX-SKU-00319,Toner 006R04399,device,18643.45,33,0.914,473,121,True,
XRX-SKU-00320,Toner 006R04399,software,14759.31,55,0.291,637,152,True,
XRX-SKU-00321,Xerox PrimeLink C9070,software,294.16,4,0.207,531,141,True,
XRX-SKU-00322,Fuser 115R00138,software,16357.15,13,0.372,583,225,True,
XRX-SKU-00323,Xerox VersaLink B625,toner,1602.88,55,0.102,324,15,True,
XRX-SKU-00324,Xerox AltaLink C8155,software,12661.32,21,0.189,840,86,True,
XRX-SKU-00325,Xerox PrimeLink C9070,device,8274.01,37,0.256,456,247,True,
