contract_id,customer,effective_date,term_months,sla_uptime_pct,response_time_hours,monthly_value_usd,renewal_risk,obligation_count,violation_count,duplicate_marker
dcb930f9-42c5-4df7-ade5-9cf26779df48,Summit Manufacturing,2025-12-25,36,99.0,24,41272.57,0.715,8,0,
5bf5894f-9a53-4ad4-9967-37421eaee6b9,Cobalt Media,2024-05-08,48,97.5,4,88770.35,0.295,27,3,
0027b17c-b807-4979-b9e7-db82a696a52d,Cobalt Media,2024-12-31,12,98.0,8,19530.06,0.12,22,0,
a98cbce5-0312-4299-90c2-d0f9490f6535,Arbor Pharma,2024-05-30,24,99.5,24,96669.4,0.024,38,1,
7e91f7ad-0ad8-4d33-a387-b284c2e74f3e,Vertex Legal,2024-03-03,48,97.5,24,64387.4,0.254,15,3,
e02ab086-1272-4b7e-b517-2ed6cad812ce,Northwind Health,2024-09-07,36,99.5,24,9486.07,0.433,10,0,
3bb7eb95-2647-4cfd-aec5-404ae790a7fa,Aster Financial,2026-02-25,36,99.0,2,54816.42,0.643,24,1,
78896649-5719-4ce9-ab4b-f69b04791439,Atlas Education,2024-05-15,12,99.5,2,4690.65,0.121,25,0,
666da4fa-3bf3-4234-84cb-f7d988ef44d1,Cobalt Media,2024-12-20,36,98.0,8,115456.98,0.915,22,1,
f3ab4d9c-aa96-4e86-8315-626b75701e3d,CivicGrid Utilities,2024-06-28,36,98.0,24,24784.96,0.972,10,3,
5386b0b9-a366-462d-acb5-f7eafb26f49b,CivicGrid Utilities,2025-01-09,12,99.5,2,102087.03,0.102,14,0,
81eb83d5-2a0d-43c6-a9a2-37955dd0910e,CivicGrid Utilities,2026-05-15,12,99.5,4,15498.93,0.112,29,3,
40ea8fef-dafc-4c61-a9b4-524eb28508bf,Pioneer Logistics,2024-07-16,36,99.5,24,76759.02,0.413,37,0,
d8a2e5ae-782c-40aa-a7a1-e8dfb5e41cd8,Pioneer Logistics,2024-07-11,24,98.0,8,72078.65,0.894,30,0,
d7f7dc44-2437-41ff-8c7d-985b64ed9b43,Atlas Education,2026-05-26,48,99.0,8,78893.75,0.389,42,0,
7721d13e-9716-4f02-88de-f477ce6ca293,Arbor Pharma,2025-11-19,24,97.5,24,60224.71,0.888,26,0,
5c65a061-d9d4-4d73-af7b-6d8dce26afbf,Helio Energy,2025-10-28,36,97.5,24,28455.41,0.565,42,0,
e2230ba1-adce-4642-ae23-d9fa514f9f13,BluePeak Retail,2025-08-07,36,99.5,24,10280.16,0.139,16,0,
b9b8e56e-39ca-45b1-91ba-db568ae18a3a,Pioneer Logistics,2024-06-13,48,97.5,2,15627.07,0.14,31,0,
9c8a8158-83d1-45d7-bd0d-66db474a3668,Atlas Education,2025-03-26,60,99.0,24,117033.18,0.699,38,3,
47b76b3f-bf75-43bc-bfa6-11030e84848e,Helio Energy,2025-07-21,24,99.5,24,62662.17,0.773,29,0,
0b08c50d-cb1e-4a3e-b65b-5f7bfc7deb3f,Meridian Insurance,2026-05-24,12,99.5,24,118253.87,0.337,26,0,
d9830453-f3c0-4edb-bed9-5bf4c767dcfe,Helio Energy,2024-02-19,60,97.5,2,81482.31,0.335,8,0,
def8608a-4e2b-44c8-8b33-e4aedcfb68fb,Vertex Legal,2025-03-04,12,99.5,4,81499.56,0.261,30,0,
a57537df-42c5-4545-8204-9e93ede3bd9e,Helio Energy,2025-08-24,24,99.0,4,22353.71,0.393,38,0,
0c088c8c-13cd-4020-99ac-477362f59c96,Vertex Legal,2025-09-16,60,99.5,8,123485.1,0.593,41,0,
3f863765-b85d-455f-8859-ad4e87bb0b1e,Meridian Insurance,2024-08-15,12,97.5,2,60422.25,0.735,17,0,
34e767fc-b68e-41c2-9107-d187e937b76b,Northwind Health,2024-10-31,48,99.0,4,79269.75,0.306,10,0,
406036d6-af9a-4730-922b-a530a09f7596,Vertex Legal,2025-07-02,60,98.0,8,37795.1,0.649,44,0,
ff3d2cfd-9914-4114-ac88-7c88dc0d1f8a,Helio Energy,2026-03-19,48,99.0,2,48699.93,0.536,29,0,
03b13ff2-7ef0-4ac5-97e1-6f929f7e78a6,Meridian Insurance,2024-06-01,48,99.5,4,101329.52,0.908,13,0,
f7fe1df0-cc5a-49ba-afa1-7118a60e554e,Atlas Education,2024-06-27,60,97.5,2,60048.31,0.582,18,0,
fd26e597-0d0c-4864-9245-08a646221dc8,Northwind Health,2024-07-21,60,99.5,24,68648.31,0.058,22,0,
23e1e77d-c0b0-42a7-8e15-9a6935879a0c,Helio Energy,2024-04-30,36,97.5,24,79098.03,0.747,28,2,
01fd3d09-eeba-475a-9d58-cf4c87ca6334,Pioneer Logistics,2025-03-03,60,98.0,2,48917.64,0.886,9,2,
0ccf3db6-3b05-4b42-aa0c-669d6cc049f1,Northwind Health,2026-02-02,12,99.5,24,83188.22,0.744,32,0,
61cc01b9-4361-4378-b2c3-8f5b60ba5f3d,Arbor Pharma,2026-04-08,24,98.0,24,114771.27,0.547,26,0,
cf88481b-be6c-4dfe-8e35-bbd0e7607869,Summit Manufacturing,2024-08-08,12,97.5,8,97587.63,0.495,37,0,
2f0bdebe-0043-4daf-bfda-ff6c2797d46f,Northwind Health,2026-03-22,48,99.5,2,38301.68,0.958,22,1,
22545552-4af7-4802-bc8e-10e787c95a47,Aster Financial,2024-10-08,48,97.5,2,70278.33,0.359,33,0,
f350563f-0748-4597-a5da-b28f0e67cdd1,CivicGrid Utilities,2025-08-04,24,99.0,2,95951.1,0.618,27,0,
4a6a03a3-4a14-49af-92fb-a093070119cb,Aster Financial,2024-09-13,36,99.5,2,33650.72,0.237,27,0,
a62ab11a-8672-4f17-bf87-ba229a20dc07,Northwind Health,2026-04-05,24,98.0,24,19751.98,0.481,26,0,
4d3b3f5e-9480-4e4d-b6ee-8e3c6875456a,Summit Manufacturing,2026-02-03,12,99.0,24,117441.96,0.01,39,0,
201b179c-ec9f-4f15-a94c-7bf1d794274f,Meridian Insurance,2025-10-03,60,99.0,24,41638.53,0.718,43,0,
4fb436b0-56aa-4755-8f6b-e791655c6c68,Arbor Pharma,2024-04-28,12,98.0,8,67987.19,0.535,18,0,
8ae0e123-344c-4a82-8f9a-acaaebdc13ef,BluePeak Retail,2024-08-24,12,98.0,24,53223.0,0.819,43,1,
a7083e6b-1d96-44da-8bdc-1578419d10a3,Vertex Legal,2026-04-29,24,99.5,24,106613.51,0.177,42,0,
d53e5848-3785-490d-a681-96c69826fa42,Aster Financial,2024-07-04,60,99.0,4,72172.51,0.002,27,0,
dce19363-4d4f-416a-86af-faf8012cb029,Summit Manufacturing,2026-03-31,48,99.0,24,122322.71,0.955,20,0,
c6801238-e6f7-4312-9193-f14cb6a47224,Aster Financial,2026-05-08,24,97.5,2,62153.08,0.61,17,0,
6ecc1f6d-f897-49cb-9e7d-b7101227c385,Helio Energy,2026-05-25,36,98.0,2,69863.19,0.256,36,0,
bfe79d89-4863-4f74-89a3-12e4e7324905,Northwind Health,2024-12-27,60,97.5,8,94865.7,0.164,35,0,
0cd0e3eb-0120-4ff2-b9cf-afefb1ea1bac,Summit Manufacturing,2024-07-19,60,98.0,24,80711.32,0.08,36,0,
373f1925-037b-4f57-9016-801268186372,Summit Manufacturing,2024-03-31,60,98.0,24,70410.62,0.3,9,0,
2852f6bf-652e-450e-aefe-e6f372cc1c00,CivicGrid Utilities,2025-05-11,60,99.0,2,26347.69,0.654,28,0,
fbe4a65a-d738-4c07-b420-dce9a015d4f8,Arbor Pharma,2026-03-27,24,97.5,2,95223.92,0.065,21,0,
c8faf6f2-7dce-4b2c-83ab-b5be79f0fa88,BluePeak Retail,2024-09-06,48,98.0,8,42088.71,0.642,19,5,
861c0dd9-c982-4862-b4d2-13efaca063c0,Summit Manufacturing,2026-02-05,36,99.5,8,11802.76,0.215,43,0,
23fa1d78-2b30-4534-998d-9c059fa94082,Cobalt Media,2026-04-11,60,99.5,8,30487.37,0.579,26,3,
6a817e72-eb79-47b4-8a0e-73d36301b14e,Aster Financial,2024-11-09,24,99.5,2,63107.09,0.821,27,0,
ec32cfe2-71a9-47b1-9dae-170e55fe62b0,Cobalt Media,2025-12-20,48,99.5,2,61964.56,0.615,16,2,
df700028-6b48-41f0-9d34-cdd28ff8feca,Northwind Health,2024-09-18,60,97.5,8,112802.25,0.9,40,0,
15cffd83-2508-4b87-8ae9-04dcdfdb1dc4,Meridian Insurance,2026-01-24,48,98.0,8,4875.0,0.067,14,0,
187884e2-7769-4247-876d-88f6a0d0bb3a,Cobalt Media,2024-06-11,36,99.0,2,120570.1,0.37,32,5,
141a5f9b-b8cb-4c7d-b95c-41d958ceba11,Aster Financial,2026-03-22,24,99.5,2,72016.62,0.774,25,2,
91031f18-f175-43a4-b19d-59d3dbd6db3c,Helio Energy,2024-11-03,12,97.5,8,102421.67,0.1,28,0,
73d367a7-23db-4aca-aab2-46830b6c1423,BluePeak Retail,2024-04-21,60,99.0,24,20112.99,0.994,18,0,
330dd920-3557-456e-bd50-b197dd4ff508,Atlas Education,2026-04-04,12,98.0,24,35046.9,0.388,42,0,
60af4279-51ac-42c2-a859-89168c534570,Vertex Legal,2024-02-15,60,99.5,8,21713.84,0.439,15,0,
410581f3-418f-44ee-9401-5cd133ef222b,BluePeak Retail,2025-11-10,12,99.5,4,12128.4,0.93,29,0,
8005a614-3236-431d-9802-53b3edd3fbc9,Helio Energy,2024-10-31,60,97.5,8,83998.63,0.739,22,5,
d4f2dd99-1395-4f9d-b1a8-367959f638b4,Meridian Insurance,2024-04-25,12,97.5,8,80385.73,0.763,15,0,
358cd389-83cb-4df5-947f-72803ef72c94,Helio Energy,2024-06-14,24,97.5,24,70561.79,0.695,8,0,
3e4e7f00-9e17-41ad-8427-7c62fdee9c6b,Pioneer Logistics,2024-06-22,36,97.5,8,111797.22,0.601,30,0,
21a4ff72-b759-4234-b4bc-da21474d0815,BluePeak Retail,2024-03-09,24,98.0,8,63434.87,0.169,11,0,
42f80f3b-f0c7-413e-9cb9-e50d23be95bb,Arbor Pharma,2025-07-18,36,99.5,4,60334.51,0.799,32,3,
e960a276-56f4-49cf-9cfb-ddd884448d3a,Vertex Legal,2026-05-30,36,99.0,4,42326.86,0.755,36,3,
e024db4e-e74a-4ea7-8247-0f1dcafeaaf7,Summit Manufacturing,2025-11-29,60,98.0,2,28544.26,0.368,38,0,
813d6bca-cc8e-45c1-99fb-92a04aaad3d1,Arbor Pharma,2024-05-12,24,99.0,8,84636.69,0.28,44,0,
e9fa93d5-478a-4e42-98eb-dd7ee565d246,Pioneer Logistics,2024-10-07,60,99.0,24,48420.15,0.173,17,0,
b94ea3df-ed35-4e44-9b7e-2cb846415ca5,Meridian Insurance,2024-09-12,36,98.0,4,75954.67,0.111,20,0,
83c82c7c-c067-4a75-8a6d-c721cb98509d,CivicGrid Utilities,2024-05-20,12,99.5,24,29226.16,0.399,32,0,
aa7261b9-b242-43fa-951d-76c245bd186b,Pioneer Logistics,2024-04-30,24,99.5,24,43427.98,0.587,35,0,
fe8f375e-adec-4343-b421-b604283bd556,Helio Energy,2024-01-12,36,99.5,2,16934.35,0.4,38,0,
e417e77b-6932-4e41-8b38-ff39c48b217b,Arbor Pharma,2024-10-29,24,99.5,8,121087.45,0.788,40,0,
ecdf7adf-33f6-4ddc-81ef-5a0bc637c5c8,Summit Manufacturing,2026-05-27,24,99.0,2,90048.42,0.36,31,1,
afd54736-4b0b-4d60-868d-add42cf7765b,Summit Manufacturing,2024-04-25,12,98.0,4,35726.98,0.61,32,0,
57ab132c-388b-4d89-a7c2-c0bdc509dbe8,CivicGrid Utilities,2026-01-21,36,99.0,24,17509.81,0.835,43,0,
27c70ee7-a759-43da-929b-f0ccbb269ecf,Cobalt Media,2025-10-15,48,98.0,24,84444.45,0.287,38,0,
62942d40-b79b-4f78-92c6-10440ff0930e,Atlas Education,2024-05-08,48,99.0,8,60736.34,0.809,41,0,
b07f4b28-cc09-45bb-bbdd-f0ccb18a4d59,Summit Manufacturing,2024-10-05,36,99.5,24,97136.67,0.509,11,0,
7f8860f9-74ca-4585-840f-ceab3cd6d1ce,Summit Manufacturing,2025-02-28,60,98.0,4,38178.26,0.235,42,0,
8550ec3e-362e-415a-b9e8-b615b363ef80,Vertex Legal,2025-09-01,12,99.0,8,109366.53,0.415,30,0,
d67aa7dd-7060-4110-8d37-d62faccd3194,BluePeak Retail,2025-04-13,48,98.0,2,40742.99,0.827,39,1,
229b197e-8ca0-4276-940a-66a03c2de637,Aster Financial,2025-03-03,48,97.5,4,97130.56,0.969,33,0,
08e851a6-95db-4af3-a303-712495c6d598,Vertex Legal,2024-01-30,48,97.5,24,93671.21,0.222,13,0,
88414893-898b-4cc4-a540-245670d01bc4,Vertex Legal,2025-09-24,48,97.5,2,26587.58,0.593,35,2,
9af97fd7-8d15-41f7-b52f-e8a6c45606a3,Northwind Health,2025-08-15,60,97.5,24,42237.35,0.605,19,1,
da3d4169-91ac-4efc-b0ae-bed65de9ab59,Aster Financial,2025-04-30,24,99.0,24,117798.26,0.316,29,0,
11ffb91d-a99a-4b34-a9ca-7a847caedb39,CivicGrid Utilities,2026-03-07,24,98.0,2,24966.49,0.575,30,0,
484be43e-90dd-4d2a-a293-ecf899ff82c4,Aster Financial,2026-04-02,12,97.5,2,39164.71,0.403,14,0,
8e43c839-e678-401a-9a96-06ae14c11c3d,Helio Energy,2025-04-14,12,98.0,24,98914.98,0.448,19,0,
c0497955-c1b5-48ba-9bb6-7a35425e0846,Northwind Health,2024-03-16,60,99.0,24,40099.59,0.561,20,0,
15c17450-fe6a-403a-9ccb-4cbe093f7006,Arbor Pharma,2025-10-18,48,98.0,4,65940.26,0.695,31,1,
c1d761ba-8ea3-4018-9a2c-c257eff452fa,BluePeak Retail,2024-10-23,36,99.5,8,61824.42,0.86,41,0,
5b8bb507-c337-4ae5-85ce-835727e9fe78,Vertex Legal,2024-11-23,24,97.5,24,90661.64,0.348,17,0,
186e96f7-29c6-4a74-aa04-a234c55b5f72,Helio Energy,2026-01-18,60,98.0,4,41691.32,0.159,13,0,
a083fc2c-c2a3-4b78-98d6-7dc368545ba7,BluePeak Retail,2025-01-25,24,99.0,4,122790.66,0.268,11,0,
9c484d24-dad2-44a1-9b11-c85fa64623d3,Arbor Pharma,2026-04-07,12,98.0,4,123810.31,0.978,25,0,
fc086dd2-13ba-4b35-a828-6a3bac6a7089,Summit Manufacturing,2026-01-07,48,97.5,8,55659.97,0.554,12,0,
12ce7cc8-96d7-4eb9-9ade-61fe6e79264a,Meridian Insurance,2024-08-09,60,99.5,2,68112.02,0.344,9,0,
55904f00-5ddb-40f9-ad4d-e6910401d77c,Vertex Legal,2024-06-13,24,99.5,4,121650.19,0.489,19,0,
8b5779a2-550c-4439-92bb-b4f880e987d3,Arbor Pharma,2025-11-08,48,99.0,4,99132.92,0.31,12,0,
fb8483ec-c957-47d0-884f-15e73f17d41b,Atlas Education,2025-07-18,24,99.0,2,74410.01,0.719,15,0,
f5d59b3c-64da-47a9-ba1f-bcc09f3cf35a,Pioneer Logistics,2024-07-27,48,99.0,24,73563.29,0.145,35,0,
dbef8b2e-4d7a-4053-82cc-ac799f34ef12,Vertex Legal,2025-05-21,60,99.0,4,113161.44,0.447,26,0,
deba13ee-fc2c-4d5a-85c4-cf04b050f24e,CivicGrid Utilities,2025-08-10,60,98.0,24,28821.44,0.009,19,0,
5c14022e-44f1-4586-ba41-42e5794a3e4d,Pioneer Logistics,2026-01-17,12,99.5,2,124487.64,0.434,31,2,
887c4775-7139-4b53-b005-77bb6e7e0108,CivicGrid Utilities,2024-11-28,48,99.0,4,117305.51,0.582,44,0,
5bc2d1fb-5662-4872-8c0d-698d27830d8f,CivicGrid Utilities,2026-02-12,36,98.0,4,108100.63,0.268,14,0,
4282a939-8d31-421c-ba20-aa7389e8702b,Vertex Legal,2024-08-19,36,99.0,4,124785.52,0.985,15,5,
1221618e-6647-4a80-a748-b060b7782339,Arbor Pharma,2025-09-23,12,99.5,24,26123.53,0.351,21,0,
f00bdfa8-12ca-4c1c-84ed-968074558624,Aster Financial,2024-08-21,24,97.5,2,92405.82,0.974,11,0,
5b7347cf-216d-42a4-826e-f887ba1a32b5,Helio Energy,2024-03-19,36,99.5,4,64543.8,0.455,23,2,
7e04b2d5-d009-479d-ba3b-0b656945351d,Arbor Pharma,2024-05-04,60,99.5,24,30624.18,0.606,43,1,
f3a10287-861b-4849-a734-8ce11c90f100,Aster Financial,2026-03-31,24,98.0,2,60610.22,0.047,10,0,
f525359d-6b88-4edc-99db-ab51dd04b4f9,Cobalt Media,2024-05-04,12,98.0,4,56054.2,0.655,41,1,
029fbe88-c20b-425c-adb8-87d64f12a337,Northwind Health,2024-10-22,12,99.5,2,50805.7,0.039,43,0,
19e268eb-a423-4f4d-aaf2-9303703e7299,Arbor Pharma,2025-06-10,60,98.0,4,123324.31,0.29,13,0,
ce3a19f1-7071-4dc5-9785-132ab05fb5e0,Arbor Pharma,2025-01-31,48,97.5,24,13270.87,0.665,21,1,
c3e683e8-d128-40f4-a7d3-a21bfe86242e,Helio Energy,2024-08-29,48,98.0,24,64330.58,0.636,36,1,
9c90d5d1-25c4-4d0b-93b0-657265225c83,Pioneer Logistics,2025-03-25,24,99.5,4,65484.58,0.496,42,0,
7ebb7707-6a0f-440d-b5f3-232dbbffb496,Northwind Health,2025-10-16,36,99.0,8,102085.89,0.441,41,0,
a908e086-8cda-490c-a463-eec0e0600de2,Atlas Education,2024-09-28,24,98.0,24,38429.53,0.575,22,0,
e4e380dd-f7b8-4baa-b776-e6b9a9fcfec4,Northwind Health,2025-05-22,12,99.0,24,14507.11,0.866,10,0,
1b65f246-7cf1-4f0b-8fd9-8b8185e98aab,Pioneer Logistics,2025-08-02,24,97.5,24,40485.48,0.534,27,0,
4256919d-bc88-4fcb-b707-ea5d7c2ae662,Pioneer Logistics,2024-09-04,12,99.0,24,44358.84,0.671,44,0,
22a7e7ca-b197-48fe-a32f-37426e2fad52,Pioneer Logistics,2024-07-28,48,99.0,2,24891.92,0.919,43,2,
517e8b6d-7a2e-4ba2-8de2-7ed24968be48,Atlas Education,2026-04-09,48,97.5,4,33759.32,0.044,38,0,
6692c58a-be27-4ec2-b2d4-084d5cea5896,CivicGrid Utilities,2025-11-18,48,98.0,4,73137.34,0.99,31,0,
e8f033bf-47e6-4e71-8068-b830308ad2d5,Helio Energy,2024-07-19,12,97.5,8,121462.99,0.052,41,0,
625a6dae-b7ca-4ba6-b206-040ad5c84ba9,Arbor Pharma,2025-12-26,24,99.5,4,113581.23,0.527,13,0,
aa5318ad-09a0-4e44-820a-0d9d3281c191,Helio Energy,2026-03-03,60,97.5,2,39829.72,0.806,9,0,
d35dfdd8-4843-432d-b2ed-e4676cabff6d,Helio Energy,2024-03-07,60,99.0,4,80121.99,0.922,8,1,
ca730234-96b0-45e5-8392-7af6a899b594,Pioneer Logistics,2026-05-07,48,97.5,2,75797.5,0.557,25,2,
34cd3200-3527-4544-95bc-edd209198a72,Pioneer Logistics,2024-08-19,12,99.0,4,34455.17,0.788,18,5,
9db440d1-fc8c-4478-a283-3a7576d7dcba,Vertex Legal,2026-02-15,12,97.5,24,38088.16,0.069,25,1,
65a88662-30b3-472d-a36f-b2be216bc2e6,Atlas Education,2025-06-27,12,97.5,2,85080.39,0.531,19,1,
24926373-6f81-4a79-b93e-1a20f8af486e,Arbor Pharma,2024-10-11,48,97.5,24,69194.01,0.556,32,0,
81d3e9d1-ad3f-490e-b188-ab4c4d3a0192,Helio Energy,2025-10-23,36,98.0,2,108334.87,0.805,40,0,
2df1df3e-9f60-4326-8e41-950f7a97cd90,Arbor Pharma,2024-09-21,24,99.5,4,106265.27,0.597,15,0,
29e61b9c-8013-42d4-a04c-e1b6b9f848d7,Helio Energy,2024-03-26,60,99.5,8,19999.27,0.111,9,0,
d3c9af31-2e9a-4070-af96-4ea0bd6400b2,Pioneer Logistics,2024-04-22,36,99.5,2,103616.54,0.087,35,0,
feff6a71-b728-4633-b9e9-b017472f8581,Pioneer Logistics,2025-09-02,48,99.5,4,89174.64,0.162,18,0,
2018c377-78c6-4367-a102-db7f151b49d3,Vertex Legal,2025-04-30,48,99.5,24,95190.96,0.336,8,5,
33dfb91b-f490-4ef3-a9ad-12b3e81ddae4,Pioneer Logistics,2025-08-20,24,97.5,8,38349.64,0.342,41,0,
1fb90659-04c1-4d11-bd13-2b00926b9cc6,Pioneer Logistics,2025-07-15,60,97.5,8,4371.6,0.372,23,0,
2a47de70-9173-43fb-a059-8b51a94d2486,BluePeak Retail,2024-07-15,48,99.5,2,123502.91,0.034,42,0,
3e2ef1c0-2d26-4832-ab03-0d28a97dff8b,Vertex Legal,2025-11-02,12,98.0,24,101073.82,0.521,24,0,
686f01ee-3143-46a2-8e32-4ba0e784b393,Pioneer Logistics,2025-03-30,24,99.0,2,14763.02,0.115,15,0,
c0d62d3c-ffbf-4c12-9626-459d30a2263e,Aster Financial,2024-12-13,60,99.5,4,122637.8,0.015,32,0,
2da48adc-2d7f-4448-9ee7-78ac54363d68,Cobalt Media,2025-07-06,24,97.5,24,34635.77,0.256,21,1,
9150d00c-51e0-477e-9afa-778769faf8a7,Pioneer Logistics,2025-04-05,36,98.0,2,47561.59,0.26,41,3,
a2b59d0f-eb0c-4ea8-9e9d-0a658a1c6b92,Atlas Education,2025-04-22,24,99.0,24,107019.94,0.733,13,0,
5098281a-fd9a-4709-91a1-2195b6119275,Summit Manufacturing,2025-12-29,24,98.0,24,87349.53,0.875,13,0,
fe6520a2-f2a7-42c7-a8fa-c1c026328b75,Aster Financial,2024-03-06,48,99.5,2,118699.08,0.669,27,0,
2ac1bc6d-2d8a-4c88-822f-80fb73b6c16c,CivicGrid Utilities,2026-01-17,36,99.5,4,42630.29,0.199,26,1,
00e67818-2e50-46bb-a3a1-9b9ae787fe6b,Summit Manufacturing,2024-02-04,60,99.0,8,119988.37,0.464,9,0,
1ca64315-582d-4e85-b8ea-c32e8ef7a298,Meridian Insurance,2024-03-02,36,99.0,24,13785.24,0.113,36,2,
09cbaf9c-ad18-4d45-a392-fc216bfc812a,Helio Energy,2025-05-06,36,98.0,8,61929.51,0.393,16,3,
82eefa3d-78c7-4412-9b6b-04cbb75cfabc,Vertex Legal,2026-02-05,12,99.5,2,49786.11,0.309,23,0,
eadba34a-b07b-4088-9652-88006d9d960a,Meridian Insurance,2025-12-08,24,97.5,2,55523.22,0.69,30,0,
1c90d2ee-e4fb-4f20-971a-a360f2a6c4e0,Meridian Insurance,2025-02-17,12,97.5,4,20080.33,0.513,23,0,
e1bf0ed2-713c-4201-821f-56cc4cbb30da,Helio Energy,2026-04-24,24,97.5,2,39282.78,0.743,13,0,
7b3e3a65-fd10-400a-a530-9f68bbb420d8,Northwind Health,2024-05-20,60,97.5,24,61900.93,0.522,15,1,
77850d18-d287-4be4-9bae-9569c85df385,BluePeak Retail,2025-01-02,24,99.0,4,113615.0,0.376,20,5,
026a56f8-1e2a-4317-a911-bfcb4b015a64,CivicGrid Utilities,2024-03-04,12,99.0,4,37375.29,0.992,16,0,
a83113e0-ebb8-4f9b-93bd-82136ecb7fc2,BluePeak Retail,2024-03-11,36,97.5,4,64132.56,0.138,43,2,
891ed0f4-88e2-4e73-9c49-6a4204a8d87e,Vertex Legal,2025-03-30,24,99.0,8,17267.85,0.869,21,1,
f668ea41-b5ba-4eae-81d7-ca86e18529d8,Cobalt Media,2026-04-18,36,99.0,4,81583.39,0.508,38,0,
77cad42a-0d09-4ee5-b984-6ea5bbc63c67,Arbor Pharma,2024-05-27,60,97.5,8,42886.92,0.257,31,5,
4727d9ff-ec68-4405-8040-21aaf9eeaead,Cobalt Media,2026-02-01,24,98.0,4,31163.73,0.992,16,2,
e65fc288-8b55-4f25-a5fd-87a3885b8b23,Summit Manufacturing,2025-07-18,36,99.5,2,106571.61,0.05,41,5,
cf0e17b7-8388-4390-8b4e-81921b9aae06,Cobalt Media,2024-08-05,24,98.0,2,12806.55,0.77,12,0,
de3ac38c-5f0d-4d17-b94b-9b57532f45ac,BluePeak Retail,2026-04-27,36,98.0,8,10352.26,0.865,42,0,
505c63fa-bac5-43be-9a30-7a61348e9933,Helio Energy,2026-05-14,36,99.0,24,63594.27,0.837,41,0,
7b4d611c-c3a9-469a-ada8-071256af1e95,Atlas Education,2024-06-01,48,97.5,24,107361.95,0.862,41,0,
56b24485-4d91-4f90-96a1-a66b7a4a26b4,Helio Energy,2024-10-02,24,99.5,24,19893.92,0.325,38,0,
5776f684-f62d-4e08-bdd2-cbb086e4451a,BluePeak Retail,2025-06-06,60,99.5,8,25888.95,0.874,8,0,
